symbol,Name of Securities,Category,Sub-Category,Board Lot,Expiry Date,ETF / Fund Manager,Debt Securities Investor Type,Div Stock,Blue Chip,HSI
1947.HK,MEIHAO GROUP,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1948.HK,UJU HOLDING,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1949.HK,PLATT NERA,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1950.HK,DIWANG IND H,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1951.HK,JXR,Equity,Equity Securities (Main Board),500,,,,Y,,N
1952.HK,EVEREST MED-B,Equity,Equity Securities (Main Board),500,,,,N,,N
1953.HK,RIMBACO,Equity,Equity Securities (Main Board),"5,000",,,,Y,,N
1955.HK,JOHNSON HLDGS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1957.HK,MBV INTL,Equity,Equity Securities (Main Board),"2,500",,,,N,,N
1958.HK,BAIC MOTOR,Equity,Equity Securities (Main Board),500,,,,Y,,N
1959.HK,CENT UNIT HLDG,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1960.HK,TBKS HLDGS,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1961.HK,INFINITIES TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1962.HK,EVERGREEN PG,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1963.HK,BCQ,Equity,Equity Securities (Main Board),500,,,,Y,,N
1965.HK,LANDSEA LIFE,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1966.HK,CHINA SCE GROUP,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1967.HK,CONFIDENCE IN,Equity,Equity Securities (Main Board),200,,,,N,,N
1968.HK,HINGTEX HLDGS,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1969.HK,CHINA CHUNLAI,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1970.HK,IMAX CHINA,Equity,Equity Securities (Main Board),100,,,,Y,,N
1971.HK,RSUN SER,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1972.HK,SWIREPROPERTIES,Equity,Equity Securities (Main Board),200,,,,Y,,N
1975.HK,SUN HING PRINT,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
1977.HK,ANALOGUE HLDGS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1978.HK,LH GROUP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1979.HK,TEN PAO GROUP,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
1980.HK,TIANGE,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1981.HK,CATHAY EDU,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1982.HK,NAMESON HLDGS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1983.HK,LUZHOU BANK,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1985.HK,MICROWARE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1986.HK,TSAKER NE,Equity,Equity Securities (Main Board),500,,,,Y,,N
1987.HK,BENG SOON MACH,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1988.HK,MINSHENG BANK,Equity,Equity Securities (Main Board),500,,,,Y,,N
1989.HK,PINE CARE GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1991.HK,TA YANG GROUP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1992.HK,FOSUN TOURISM,Equity,Equity Securities (Main Board),200,,,,N,,N
1993.HK,ASIARAY,Equity,Equity Securities (Main Board),500,,,,N,,N
1995.HK,CIFI ES SERVICE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1996.HK,RSUN PPT,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1997.HK,WHARF REIC,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
1999.HK,MAN WAH HLDGS,Equity,Equity Securities (Main Board),400,,,,Y,,N
2000.HK,SIM TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2001.HK,NEW HIGHER EDU,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2002.HK,SUNSHINE PAPER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2003.HK,VCREDIT,Equity,Equity Securities (Main Board),200,,,,Y,,N
2005.HK,SSY GROUP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2007.HK,COUNTRY GARDEN,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
2008.HK,PHOENIX TV,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2009.HK,BBMG,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2011.HK,CHINA APEX GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2012.HK,SUNSHINE OIL,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2013.HK,WEIMOB INC,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2015.HK,LI AUTO-W,Equity,Equity Securities (Main Board),100,,,,N,,N
2016.HK,CZBANK,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2017.HK,CHANHIGH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2018.HK,AAC TECH,Equity,Equity Securities (Main Board),500,,,,N,,N
2019.HK,DEXIN CHINA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2020.HK,ANTA SPORTS,Equity,Equity Securities (Main Board),200,,,,Y,,Y
2022.HK,DIGIT HOLLYWOOD,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2023.HK,CHINA LUDAO,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2025.HK,RUIFENG POWER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2028.HK,JOLIMARK,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2030.HK,CABBEEN,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2031.HK,AUSUPREME,Equity,Equity Securities (Main Board),"5,000",,,,Y,,N
2033.HK,TIME WATCH,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2038.HK,FIH,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2039.HK,CIMC,Equity,Equity Securities (Main Board),100,,,,Y,,N
2048.HK,E-HOUSE ENT,Equity,Equity Securities (Main Board),300,,,,N,,N
2051.HK,51 CREDIT CARD,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2057.HK,ZTO EXPRESS-SW,Equity,Equity Securities (Main Board),50,,,,Y,,N
2060.HK,PUJIANG INTL,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2066.HK,SHENGJINGBANK,Equity,Equity Securities (Main Board),500,,,,N,,N
2068.HK,CHALIECO,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2076.HK,BOSS ZHIPIN-W,Equity,Equity Securities (Main Board),100,,,,N,,N
2078.HK,PANASIALUM,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2080.HK,AUX INTL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2086.HK,LEADWAY TECH,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2088.HK,XIWANG PROPERTY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2096.HK,SIMCERE PHARMA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2098.HK,ZALL SMARTCOM,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2099.HK,CHINAGOLDINTL,Equity,Equity Securities (Main Board),100,,,,Y,,N
2100.HK,BAIOO,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2101.HK,FULU HOLDINGS,Equity,Equity Securities (Main Board),500,,,,Y,,N
2102.HK,TAK LEE MACH,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
2107.HK,FIRST SERVICE,Equity,Equity Securities (Main Board),"2,500",,,,Y,,N
2108.HK,K2 F&B,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2110.HK,TIAN CHENG HLDG,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2111.HK,BEST PACIFIC,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2112.HK,GRACE LIFE-TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2113.HK,CENTURY GP INTL,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2115.HK,CHANNEL MICRON,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
2116.HK,JS INNOV,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2117.HK,DATANG GROUP,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2118.HK,TIAN SHAN DEV,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2119.HK,TSIT WING INTL,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2120.HK,KN HOSPITAL,Equity,Equity Securities (Main Board),100,,,,N,,N
2121.HK,AINNOVATION,Equity,Equity Securities (Main Board),100,,,,N,,N
2122.HK,KIDSLAND INTL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2125.HK,STRAWBEAR ENT,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2126.HK,JW THERAP-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2127.HK,HUISEN INTL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2128.HK,CHINA LESSO,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2129.HK,LEGION CONSO,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2130.HK,CN LOGISTICS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2131.HK,NETJOY,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2132.HK,LANDRICH HLDG,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
2135.HK,RAILY AESMED,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2136.HK,LIFESTYLE CHI,Equity,Equity Securities (Main Board),500,,,,N,,N
2137.HK,BRII-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2138.HK,EC HEALTHCARE,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2139.HK,BANK OF GANSU,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2142.HK,HBM HOLDINGS-B,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2145.HK,CHICMAX,Equity,Equity Securities (Main Board),100,,,,N,,N
2146.HK,ROISERV,Equity,Equity Securities (Main Board),500,,,,Y,,N
2147.HK,ZHENGWEI GROUP,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2148.HK,VESYNC,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2150.HK,NAYUKI,Equity,Equity Securities (Main Board),500,,,,N,,N
2152.HK,SUXIN SERVICES,Equity,Equity Securities (Main Board),500,,,,N,,N
2153.HK,TAT HONG EQUIP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2155.HK,MORIMATSU INTL,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2156.HK,C&D PROPERTY,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2157.HK,LEPU BIO-B,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2158.HK,YIDU TECH,Equity,Equity Securities (Main Board),100,,,,N,,N
2159.HK,MEDIWELCOME,Equity,Equity Securities (Main Board),800,,,,N,,N
2160.HK,CARDIOFLOW-B,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2161.HK,JBM HEALTHCARE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2162.HK,KEYMED BIO-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2163.HK,BROAD HOMES,Equity,Equity Securities (Main Board),300,,,,N,,N
2165.HK,LING YUE SER GP,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2166.HK,SMART-CORE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2167.HK,TI CLOUD,Equity,Equity Securities (Main Board),200,,,,N,,N
2168.HK,KAISA PROSPER,Equity,Equity Securities (Main Board),250,,,,N,,N
2169.HK,CANGGANGRAILWAY,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2170.HK,BASECARE-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2171.HK,CARSGEN-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2172.HK,MICROPORT NEURO,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2175.HK,CH GENERAL EDU,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2176.HK,CCID CONSULTING,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
2177.HK,UNQ HOLDINGS,Equity,Equity Securities (Main Board),200,,,,Y,,N
2178.HK,PETRO-KING,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2179.HK,RECBIO-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2180.HK,MANPOWER GRC,Equity,Equity Securities (Main Board),250,,,,Y,,N
2181.HK,MABPHARM-B,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2182.HK,TIAN CHANG GP,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2183.HK,SANSHENG HLDG,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2185.HK,BIOHEART-B,Equity,Equity Securities (Main Board),100,,,,N,,N
2186.HK,LUYE PHARMA,Equity,Equity Securities (Main Board),500,,,,N,,N
2187.HK,ZHIXIN GP HLDG,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2188.HK,TITANS ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2189.HK,KATO (HK) HLDGS,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2190.HK,ZYLOXTB-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2191.HK,SF REIT,Real Estate Investment Trusts,,"1,000",,SF REIT Asset Management Limited,,N,,N
2192.HK,MEDLIVE,Equity,Equity Securities (Main Board),500,,,,Y,,N
2193.HK,MAN KING HOLD,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2195.HK,UNITY ENT,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2196.HK,FOSUN PHARMA,Equity,Equity Securities (Main Board),500,,,,Y,,N
2197.HK,CLOVER BIO-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2198.HK,CHINA SANJIANG,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2199.HK,REGINA MIRACLE,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2202.HK,CHINA VANKE,Equity,Equity Securities (Main Board),100,,,,Y,,N
2203.HK,BRAINHOLE TECH,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2205.HK,KANGQIAO SER,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2207.HK,RONSHINE SERV,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2208.HK,GOLDWIND,Equity,Equity Securities (Main Board),200,,,,Y,,N
2209.HK,YESASIA HLDGS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2210.HK,BEIJING JIAYE,Equity,Equity Securities (Main Board),400,,,,Y,,N
2211.HK,UNI HEALTH,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2212.HK,FB MINING,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2215.HK,DEXIN SER GROUP,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2216.HK,BRONCUS-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2217.HK,TAM JAI INTL,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2218.HK,ANDRE JUICE,Equity,Equity Securities (Main Board),500,,,,Y,,N
2219.HK,CHAOJU EYE CARE,Equity,Equity Securities (Main Board),500,,,,Y,,N
2221.HK,NEW CONCEPTS,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2222.HK,NVC INTL,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
2223.HK,CASABLANCA,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2225.HK,JINHAI INTL,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2226.HK,HONWORLD GP,Equity,Equity Securities (Main Board),500,,,,N,,N
2227.HK,SOLIS HOLDINGS,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2230.HK,MEDIALINK GROUP,Equity,Equity Securities (Main Board),"5,000",,,,Y,,N
2231.HK,JY GRANDMARK,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2232.HK,CRYSTAL INTL,Equity,Equity Securities (Main Board),500,,,,Y,,N
2233.HK,WESTCHINACEMENT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2235.HK,MICROTECH MED-B,Equity,Equity Securities (Main Board),100,,,,N,,N
2236.HK,WISON ENGRG,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2237.HK,CHINA GRAPHITE,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2238.HK,GAC GROUP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2239.HK,SMIT,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2245.HK,LYGEND RESOURCE,Equity,Equity Securities (Main Board),200,,,,Y,,N
2246.HK,GOGOX,Equity,Equity Securities (Main Board),200,,,,N,,N
2250.HK,B.DUCK SEMK,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2251.HK,AIRDOC-B,Equity,Equity Securities (Main Board),100,,,,N,,N
2252.HK,MEDBOT-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2255.HK,HAICHANG HLDG,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2256.HK,ABBISKO-B,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2257.HK,SIRNAOMICS-B,Equity,Equity Securities (Main Board),50,,,,N,,N
2258.HK,WATTS INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2260.HK,VANOV HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2262.HK,SLD GROUP,Equity,Equity Securities (Main Board),"3,000",,,,Y,,N
2263.HK,FU SHEK FIN,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2265.HK,HC ENV TECH,Equity,Equity Securities (Main Board),"5,000",,,,Y,,N
2266.HK,LAI SI ENT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2269.HK,WUXI BIO,Equity,Equity Securities (Main Board),500,,,,N,,Y
2270.HK,DESUN SERVICES,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2273.HK,GUSHENGTANG,Equity,Equity Securities (Main Board),100,,,,N,,N
2276.HK,CONANT OPTICAL,Equity,Equity Securities (Main Board),500,,,,Y,,N
2278.HK,HAILAN HLDGS,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2279.HK,YONGHE MEDICAL,Equity,Equity Securities (Main Board),500,,,,Y,,N
2280.HK,HC GROUP,Equity,Equity Securities (Main Board),500,,,,N,,N
2281.HK,XINGLU WATER,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2282.HK,MGM CHINA,Equity,Equity Securities (Main Board),400,,,,N,,N
2283.HK,TK GROUP HLDG,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2285.HK,CHERVON,Equity,Equity Securities (Main Board),100,,,,Y,,N
2286.HK,CHEN XING,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2288.HK,RYKADAN CAPITAL,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2289.HK,CHARMACY PHAR,Equity,Equity Securities (Main Board),500,,,,N,,N
2291.HK,SCIENTECH,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2292.HK,THING ON ENT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2293.HK,BAMBOOSHEALTH,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2295.HK,MAXICITY,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2296.HK,HUARCHI GLOBAL,Equity,Equity Securities (Main Board),"8,000",,,,Y,,N
2297.HK,RAINMED-B,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2298.HK,COSMO LADY,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2299.HK,BILLION IND,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2302.HK,CNNC INT'L,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2306.HK,YH ENT,Equity,Equity Securities (Main Board),"3,000",,,,N,,N
2307.HK,KAM HING INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2309.HK,BIRMINGHAM SPTS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2310.HK,TIMES UNI GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2312.HK,CH FIN LEASING,Equity,Investment Companies,"10,000",,,,N,,N
2313.HK,SHENZHOU INTL,Equity,Equity Securities (Main Board),100,,,,Y,,Y
2314.HK,LEE & MAN PAPER,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2315.HK,BIOCYTOGEN-B,Equity,Equity Securities (Main Board),500,,,,N,,N
2317.HK,VEDAN INT'L,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2318.HK,PING AN,Equity,Equity Securities (Main Board),500,,,,Y,,Y
2319.HK,MENGNIU DAIRY,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
2320.HK,HOP FUNG GROUP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2321.HK,SWANGCHAICHUAN,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2322.HK,HK CHAOSHANG GP,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
2323.HK,RENCO HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2324.HK,CAPITAL VC,Equity,Investment Companies,"10,000",,,,N,,N
2325.HK,YUNKANG GROUP,Equity,Equity Securities (Main Board),500,,,,Y,,N
2326.HK,NPE HOLDINGS,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2327.HK,MEILLEUREHEALTH,Equity,Equity Securities (Main Board),"6,000",,,,N,,N
2328.HK,PICC P&C,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2329.HK,GLORY HEALTH,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2330.HK,CHINA UPTOWN,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2331.HK,LI NING,Equity,Equity Securities (Main Board),500,,,,Y,,Y
2333.HK,GREATWALL MOTOR,Equity,Equity Securities (Main Board),500,,,,Y,,N
2336.HK,HAILIANG INTL,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2337.HK,UNITED STRENGTH,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2338.HK,WEICHAI POWER,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2339.HK,BWI INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2340.HK,ISP HOLDINGS,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2341.HK,ECOGREEN,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2342.HK,COMBA,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2343.HK,PACIFIC BASIN,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2346.HK,UNIVERSAL STAR,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2347.HK,YOHO GROUP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2348.HK,DAWNRAYS PHARMA,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
2349.HK,CH CITY INFRA,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2350.HK,MTT GROUP,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2352.HK,DOWELL SERVICE,Equity,Equity Securities (Main Board),200,,,,N,,N
2355.HK,BAOYE GROUP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2356.HK,DAHSING BANKING,Equity,Equity Securities (Main Board),400,,,,Y,,N
2357.HK,AVICHINA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2358.HK,JIU RONG HOLD,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
2359.HK,WUXI APPTEC,Equity,Equity Securities (Main Board),100,,,,Y,,N
2360.HK,BEST MART 360,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2361.HK,SINOHEALTH HLDG,Equity,Equity Securities (Main Board),500,,,,N,,N
2362.HK,JINCHUAN INTL,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2363.HK,TONGDA HONG TAI,Equity,Equity Securities (Main Board),"2,500",,,,N,,N
2367.HK,GIANT BIOGENE,Equity,Equity Securities (Main Board),200,,,,N,,N
2368.HK,EAGLE NICE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
2369.HK,COOLPAD GROUP,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2370.HK,REDCO HEALTHY,Equity,Equity Securities (Main Board),500,,,,N,,N
2371.HK,CHUANGLIAN HOLD,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2372.HK,WEILI HOLDINGS,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2373.HK,BEAUTYFARM MED,Equity,Equity Securities (Main Board),500,,,,N,,N
2376.HK,LUSHANGSERVICES,Equity,Equity Securities (Main Board),500,,,,N,,N
2377.HK,BOQI ENV,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2378.HK,PRU,Equity,Equity Securities (Main Board),50,,,,Y,,N
2379.HK,CCET,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2380.HK,CHINA POWER,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
2381.HK,SMC ELECTRIC,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
2382.HK,SUNNY OPTICAL,Equity,Equity Securities (Main Board),100,,,,Y,,Y
2383.HK,TOM GROUP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2385.HK,READBOY,Equity,Equity Securities (Main Board),400,,,,N,,N
2386.HK,SINOPEC SEG,Equity,Equity Securities (Main Board),500,,,,Y,,N
2388.HK,BOC HONG KONG,Equity,Equity Securities (Main Board),500,,,,Y,,Y
2389.HK,BJ HEALTH,Equity,Equity Securities (Main Board),"6,000",,,,N,,N
2390.HK,ZHIHU-W,Equity,Equity Securities (Main Board),100,,,,N,,N
2391.HK,TUYA-W,Equity,Equity Securities (Main Board),200,,,,N,,N
2392.HK,XUANWU CLOUD,Equity,Equity Securities (Main Board),500,,,,N,,N
2393.HK,YESTAR HEALTH,Equity,Equity Securities (Main Board),"2,500",,,,N,,N
2399.HK,CN ANCHU ENERGY,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2400.HK,XD INC,Equity,Equity Securities (Main Board),200,,,,N,,N
2402.HK,SINOHYTEC,Equity,Equity Securities (Main Board),50,,,,N,,N
2405.HK,POWERWIN TECH,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2407.HK,GAUSH MEDITECH,Equity,Equity Securities (Main Board),100,,,,N,,N
2409.HK,SEACON,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2411.HK,PAGODA GP,Equity,Equity Securities (Main Board),500,,,,N,,N
2418.HK,DEEWIN,Equity,Equity Securities (Main Board),"1,500",,,,N,,N
2420.HK,ZIBUYU,Equity,Equity Securities (Main Board),500,,,,N,,N
2421.HK,KRP DEVELOPMENT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2422.HK,REGO INTERACT,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
2423.HK,BEKE-W,Equity,Equity Securities (Main Board),100,,,,N,,N
2425.HK,AUSTASIA GROUP,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
2427.HK,GUANZE MEDICAL,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
2433.HK,ZT HN GROUP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
2436.HK,LX TECHNOLOGY,Equity,Equity Securities (Main Board),300,,,,N,,N
2439.HK,CH TREASURES NM,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
