symbol,Name of Securities,Category,Sub-Category,Board Lot,Expiry Date,ETF / Fund Manager,Debt Securities Investor Type,Div Stock,Blue Chip,HSI
0156.HK,LIPPO CHINA RES,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
0157.HK,NATURAL BEAUTY,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0158.HK,MELBOURNE ENT,Equity,Equity Securities (Main Board),500,,,,Y,,N
0159.HK,BROCKMAN MINING,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0160.HK,HON KWOK LAND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0162.HK,CENTURY GINWA,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0163.HK,EMPEROR INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0164.HK,CHINA BAOLI TEC,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0165.HK,CHINA EB LTD,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0166.HK,NEWTIMES ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0167.HK,IDT INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0168.HK,TSINGTAO BREW,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0169.HK,WANDA HOTEL DEV,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0171.HK,SILVER GRANT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0173.HK,K. WAH INT'L,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0174.HK,GEMINI INV,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0175.HK,GEELY AUTO,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0176.HK,SUPERACTIVE GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0177.HK,JIANGSU EXPRESS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0178.HK,SA SA INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0179.HK,JOHNSON ELEC H,Equity,Equity Securities (Main Board),500,,,,Y,,N
0180.HK,KADER HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0181.HK,FUJIAN HOLDINGS,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0182.HK,CONCORD NE,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
0183.HK,WINFULL GP,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0184.HK,KECK SENG INV,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0185.HK,ZENSUN ENT,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0186.HK,NIMBLE HOLDINGS,Equity,Equity Securities (Main Board),"30,000",,,,N,,N
0187.HK,JINGCHENG MAC,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0188.HK,SUNWAH KINGSWAY,Equity,Equity Securities (Main Board),"5,000",,,,Y,,N
0189.HK,DONGYUE GROUP,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0191.HK,LAI SUN INT'L,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0193.HK,CAPITAL ESTATE,Equity,Equity Securities (Main Board),"3,000",,,,N,,N
0194.HK,LIU CHONG HING,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0195.HK,GREENTECH INTL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0196.HK,HONGHUA GROUP,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0197.HK,HENG TAI,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0199.HK,ITC PROPERTIES,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0200.HK,MELCO INT'L DEV,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0201.HK,MAGNIFICENT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0202.HK,EVERCHINA INT'L,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0204.HK,CHINA INV DEV,Equity,Investment Companies,"20,000",,,,N,,N
0205.HK,SEEC MEDIA,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0206.HK,CMIC OCEAN,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0207.HK,JOY CITY PPT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0209.HK,WINSHINE SCI,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0210.HK,DAPHNE INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0211.HK,STYLAND HOLD,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0212.HK,NANYANG HOLD,Equity,Equity Securities (Main Board),500,,,,Y,,N
0213.HK,NATIONAL ELEC H,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0214.HK,ASIA ORIENT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0215.HK,HUTCHTEL HK,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0216.HK,CHINNEY INV,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
0217.HK,CHINA CHENGTONG,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0218.HK,SWHYHK,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0219.HK,SHUNHO PROPERTY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0220.HK,U-PRESID CHINA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0222.HK,MIN XIN HOLD,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0223.HK,ELIFE HLDGS,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0224.HK,PIONEER GLOBAL,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
0225.HK,POKFULAM,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0226.HK,LIPPO,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0227.HK,FIRST SHANGHAI,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0228.HK,CHINA ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0229.HK,RAYMOND IND,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0230.HK,MINMETALS LAND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0232.HK,CON AERO TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0234.HK,NEW CENTURY GP,Equity,Equity Securities (Main Board),"24,000",,,,N,,N
0235.HK,CSC HOLDINGS,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0236.HK,SAN MIGUEL HK,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0237.HK,SAFETY GODOWN,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0239.HK,PAK FAH YEOW,Equity,Equity Securities (Main Board),"2,500",,,,Y,,N
0240.HK,BUILD KING HOLD,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
0241.HK,ALI HEALTH,Equity,Equity Securities (Main Board),"2,000",,,,N,,Y
0242.HK,SHUN TAK HOLD,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0243.HK,QPL INT'L,Equity,Equity Securities (Main Board),"9,000",,,,N,,N
0244.HK,SINCERE,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0245.HK,CHINA VERED FIN,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0247.HK,TST PROPERTIES,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0248.HK,HKC INT'L HOLD,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0250.HK,SINO-I TECH,Equity,Equity Securities (Main Board),"50,000",,,,N,,N
